id,name,latitude,longitude,free_bikes,empty_slots
4ac99b928a91d8ccb785c9d0b805adb6,10th & Kingsway,49.261973,-123.09725,2,17
4bf76e0c1c429f98ee29d237743f7b91,Beach & Hornby,49.27551,-123.13307,12,10
4cb84c9a3743287019ae00ceef9a1cd3,10th & Oak,49.262255,-123.126217,0,17
4e8fdc99e77ba1b70d90e124a704d0c1,Hawks & Union,49.277333,-123.087359,10,6
4f6ebf2026d540ffe40e29a80138ad5e,Marinaside & Cooperage,49.273833,-123.114373,14,10
5105df3dd0daf4c26980f4134f61e5cc,Alberni & Jervis,49.28763,-123.127245,6,14
51e4d3731aebbf9c3186f310a08de6c8,7th & Arbutus,49.265605,-123.152566,9,7
521c2122c791ed038168c3b8ff24061b,14th & Ontario,49.25849,-123.104799,3,13
549f00f6039e8bb702a00dcca08a8ed0,King Edward & Cambie,49.249184,-123.116141,1,17
5699b40126e10c2f68eefc3eb18ff3a1,1st & Fir,49.270783,-123.141564,5,15
56fef9ba0af67a4ff3e661a8e02c0b08,Arbutus & 16th,49.257654,-123.153212,13,27
5726de7c5646b82f7aaeafba50aee03e,War Memorial Gym,49.2665793,-123.2485487,1,24
57d39a680c9407cda0fb4de6d9c55138,28th & Willow,49.246243,-123.124373,4,14
57e928d8c30fab0ebffb3ede850f89d6,Arbutus Greenway & Fir,49.266774,-123.141135,4,11
58345bb719f4e570ed4edc9dfa6a68a2,West Mall Swing Space Building,49.263073,-123.254307,3,16
58a026f0c506caec20697a4f90538450,McLean & Pender,49.280427,-123.074082,9,7
5a34495280727a5b50b9aa41e14e9a16,Bute & Barclay,49.284893,-123.128685,16,14
5ba6e9725b1b0ee8cd25df976e47726b,Balsam & Cornwall,49.273011,-123.159663,18,0
5de0fe55497681d4cc9dd25509cf51ab,Hastings & Broughton,49.290112,-123.127062,16,6
5f45325fdd6334a4c0d3b62853b19fa6,Seymour & Cordova,49.28512,-123.11242,5,13
5fc29e0ac42c11abb45bf12aaeb925bd,Alder & 11th,49.261742,-123.13148,10,2
61901a235d4cfceb7f8f2c3888b98617,10th & Columbia,49.262206,-123.109091,4,8
625a2ad202275c8e2be3ce868e85b105,Heather & 14th,49.259183,-123.120126,4,12
62a202eb98c0a4b09ba6746f5ee94ab3,Commercial & 20th,49.252656,-123.067965,4,16
6526a2eb3832f9ba0224d237e901ea5b,Kitsilano Beach Park,49.273355,-123.154493,10,22
6620c54bd6b3a79800b2b67e999b24d0,Rolston & Granville,49.274232,-123.129998,8,13
664502c28e8147615f17b8ea355f40d0,Cordova & Bute,49.289124,-123.12196,8,5
66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),49.260599,-123.113504,6,9
671ce9e4a92063620f772d2c57f0f3ab,Blenheim & 4th,49.268837,-123.177633,4,17
680b1ddfd50c4397b365c9c00f09b0d1,Wylie & 2nd,49.267725,-123.11311,7,10
686b314a6c3348efd2297d6b3dfed1a7,Thurlow & Pendrell,49.280881,-123.130672,9,6
686c0fdb962e26e274d81fc286c010dd,14th & Cambie,49.258763,-123.115392,5,9
6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,49.282409,-123.118541,0,19
6b1622540fe5c85d365754dd8c20bf0c,Grant & Commercial,49.271377,-123.069416,2,12
6c0de983fb47a3439a9e3c36a3d15804,8th & Ontario,49.263837,-123.105173,10,5
6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,49.28062,-123.12482,11,6
6c7fb9043e6df5a4cc50404581a947b9,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,3,22
6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,49.279764,-123.110154,11,14
6ddeafa873279951630a00191333c45d,Robson & Granville,49.281506,-123.120101,7,15
6eaa02e5bcf78db5386683d38fa2dabd,4th & Commercial,49.266969,-123.069936,1,13
707c1c54e0278fbae5d0ae3c42a25b71,8th & Scotia,49.263635,-123.099236,3,7
7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17
71c064fa93cab5f0b7306e6c923b77c4,7th & Granville,49.2653,-123.13811,3,11
72c1049dfbbde7c24ec45c14f1a5ee85,Harwood & Bute,49.28026,-123.135244,9,11
73f388336d879bedc962cd412eb0296e,Creekside Park North,49.2756,-123.102661,7,11
77163e893653b88926e07fd6b9f688da,Nicola & Robson,49.2885056,-123.1312375,5,11
797ff1725f8d2b18337de51e240ff60d,10th & Commercial,49.261403,-123.070102,9,16
7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,49.262487,-123.114397,1,34
7b8dfa12900bcb02b47a14e4e5010ba3,Quebec & 1st,49.27033,-123.10275,17,1
7c17f51469f1a7145455f65ef6afbd87,Lakewood & Oxford,49.285575,-123.061575,11,6
7d231a181d21056e4ba80c4d9939fe92,Carolina & Great Northern Way,49.267266,-123.090786,6,8
7ed043a19e6a4ece742fe747b663bdbf,Columbia & 5th,49.266476,-123.109389,7,11
7f091b50fbbd892bf9fb869a64c47120,East Blvd & 37th,49.238105,-123.154966,4,14
80b5c12ef21fd47275d37b2c9935249c,Trafalgar & Cornwall,49.272969,-123.164325,13,7
826af7eee4ce28b6fa4b4f0211305792,5th & Arbutus,49.267222,-123.153157,11,5
82c794442f54fabf9db6e392ca1fac0f,Stanley Park - Information Booth,49.297933,-123.130758,5,14
838d5bb59963474ad08a6d5b156943ed,14th & Main,49.258425,-123.100792,1,12
852212d6d52b5f00544fad01d21c7db2,Georgia & Main,49.278529,-123.100017,11,8
8757f74d199ba5cdbcf6ffe98a993c4d,Agronomy & East Mall,49.261736,-123.24648,2,13
899f59a9994302e8e1e4be01117ef707,Alma & Point Grey,49.27247,-123.185643,6,17
89a0b49a66e54a7639ad960962148a3e,20th & Main,49.252691,-123.101289,4,12
8c9ea7f2132376859ef34fab981d6932,Nelson & Mainland,49.276436,-123.11877,4,15
8d2d5bb3b9142f781f2a7f441e6bad7a,Point Grey & Blenheim,49.271471,-123.17731,6,7
8d5f47f01d7ad668419dfe9b7fe69c9a,Yukon & 6th,49.265939,-123.1129,14,4
8d6f0cbf7d44d2908c8ce73ed00dbf66,Burrard & 7th,49.265336,-123.145823,3,13
8dc684732a2a25bdf63ec0ecccee4e6e,14th & Granville,49.25894,-123.139272,3,10
8e44a17d2fa446ca220b90c7063b42ca,Wall & Eton,49.287464,-123.060771,16,2
8e93d0da1ee6caadf21ed9575b5fa9da,Beach & Cardero,49.283298,-123.142288,8,13
8fb5ce1e34ad31de940481953aea452c,Cypress & 4th,49.268269,-123.147885,14,3
90c746df94ce1a12f1f617acfe4a8ce3,Bute & Robson,49.285836,-123.127265,0,0
910027847876403b57f1013c16504688,Richards & Robson,49.280216,-123.117639,4,15
91035fe1d70b65c9cb8ec4a007af7c7f,Glen & Union,49.277469,-123.081315,8,6
9130f9aa3bb037a04c17e6f2630327e5,8th & Yukon,49.263962,-123.112621,4,19
92c9e62c0b42adf4759c430009d3987a,1st & Chestnut,49.270721,-123.146175,15,9
93c88a18c673e2c72a6afa93d6b89f18,10th & Main,49.262141,-123.101961,8,9
9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer,49.280787,-123.115271,1,17
9449a6a83fbf88452e384350e5ac95b7,York & Yew,49.271741,-123.155421,15,3
95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,49.271721,-123.104207,12,8
96bf713e60bc35cc2feb5fd53a4f3471,10th & Granville,49.262598,-123.138921,5,7
97005696a3dff3366a8410b817388990,15th & Knight,49.256496,-123.075426,9,5
97388f4e4ea102a30345524bda465f4e,Ontario & 23rd,49.249722,-123.104991,0,10
9763838317308a4766b83696986a157b,Dunbar & Broadway,49.264579,-123.18373,1,25
97b25faf822b93fdbf72da1d594c0288,Carrall & Hastings,49.28117,-123.104419,13,4
983e58671adcc67af94457d7887dbb15,8th & Commercial,49.263242,-123.070521,4,16
988f8f74c4a12d1a30ddf2f7cd6318f8,Charleson Park,49.267628,-123.127698,5,8
9a48ca226f82f52d02707b054ebc7e9e,Princess & Union,49.277615,-123.091654,11,0
9a5478470b56379c31cf4e671584d5cc,3rd & Quebec,49.268216,-123.103168,10,4
9aa325529164ec68b4d96c4f1c4fc7c1,Stanley Park - Second Beach South,49.294318,-123.148808,9,5
9bee3167f10c884044cea0d36afcd1ef,6th & Carolina,49.265213,-123.090785,5,11
