id,name,latitude,longitude,free_bikes,empty_slots
17a3320a52bcc62161908967f8a06613,St Catherines & 7th,49.264466,-123.085183,8,12
198810b9b0af5d229d1b6fa12c620e06,Triumph & Victoria,49.283986,-123.065264,15,2
1bca0e944a4faf170db82793414b03ab,18th & Main,49.254667,-123.101389,5,9
1c8f7fd6535db12cc45cfc59aa9da058,St Catherines & 10th,49.261353,-123.085333,0,0
1d4153659a0a0a2089078c739df6737d,Nelson & Richards,49.277844,-123.120942,8,8
1d442ad1a71774c82688a45954e47bfd,Arbutus & 10th,49.262835,-123.152626,3,15
1d7e73b3321ebb6713774d376247d9f9,Comox & Denman,49.288444,-123.139203,6,12
1ef01f2f89621d51afbabaa6296e55be,Prince Edward & 14th,49.258352,-123.096337,5,9
1ef5c4ff3f0b09422bb1597fd9d7568b,Alexander & Railway,49.283992,-123.091206,12,8
25318ec3e06fae1397a3a2f645104149,Chilco & Beach,49.28972,-123.144028,9,5
257715b845828e027ff35dd0f11c971e,Richards & Cordova,49.284554,-123.111031,8,1
261efc67071963969b3f848c66454d97,Orchard Commons,49.259999,-123.250902,5,19
26555ebe3663991da07220d12b0f054a,Strangway Building,49.2661,-123.24568,7,16
2681455ba2d97283998a806b14d3e95c,Yew & Broadway,49.263523,-123.155267,5,10
277b4b4881bdb7dac73012672179def8,Woodland & 10th,49.261263,-123.073707,5,8
2781435bde344e1b64f1bebac6bc9008,Ontario & 16th,49.256825,-123.105234,2,11
2ca388bba54706770900ca2a9d7aa5be,14th & Alder,49.258819,-123.131317,0,12
2f09a64507cf6257c67ca20af27339eb,Chestnut & McNicoll,49.275938,-123.145939,5,9
2ff7eb4230654603592ab1b0780ec5e1,Dunbar & 6th,49.266636,-123.183661,8,7
30bf49544b1c864688b78172d42cca5e,Stanley Park - Vancouver Aquarium,49.299292,-123.130281,1,13
32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,49.274566,-123.121817,9,5
32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard,49.282503,-123.124697,2,14
3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,49.282759,-123.106955,7,14
34fd37d12eb989b49518ef53941ee3ff,Sasamat & 10th,49.264019,-123.209176,8,13
3596b4831ee2ea7812de753b32306835,Vine & 4th,49.268339,-123.157443,3,15
35eb539fb9298bb7e4f6759ca0256505,10th & Ontario,49.262062,-123.104656,2,17
365da33e9ce06ea53db1173a0f8eae71,Pine & 10th,49.262822,-123.14338,1,18
38e51688cba0d0c7f2457561f1b1849e,Canada Place,49.28725,-123.11298,22,1
38f045e3f43f86eae42ca4c60257ade0,Wallace & 4th,49.268974,-123.190701,11,7
3a056b29944ffab921ed3e5324a5e0d8,Denman & Bayshore,49.293264,-123.132861,14,8
3a4131fa94946d93d3529136efd62413,Pacific & Richards,49.273663,-123.127075,8,6
3aed670ccdcd94b966c0f505f8b028c7,7th &  Alder,49.265198,-123.131043,10,5
3ea99d1c123557ec50488ffdac219926,Jervis & Robson,49.286646,-123.129232,7,12
41a55a7e2908fbbd65175b794d26bc8d,Heather & 18th,49.255034,-123.120226,4,12
421516af381a11f54d07fc79be68d3d3,14th & Oak,49.258761,-123.127071,4,10
434b6f4e7fc30198f901b60fc905f609,Bute & Comox,49.283343,-123.131099,0,20
444991edc9550be0908f032da5e3c95f,Comox & Broughton,49.285253,-123.134356,6,6
44fc3d58831a9f2b919c7a3a1838b74a,Station & Terminal,49.272172,-123.097978,7,11
45a4c865db23e1cad0209afa5a799de0,Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,4,34
475627e149c1a6ba73caac8d8d2fa617,Woodland & 4th,49.266751,-123.073501,2,12
485d4d24c803cfde829ab89699fed833,8th & Ash,49.264215,-123.117772,8,8
4990fe5772f3b73eebeec125b41e478e,Burrard & Drake,49.27808,-123.130557,6,17
4ac99b928a91d8ccb785c9d0b805adb6,10th & Kingsway,49.261973,-123.09725,7,12
4bf76e0c1c429f98ee29d237743f7b91,Beach & Hornby,49.27551,-123.13307,21,1
4cb84c9a3743287019ae00ceef9a1cd3,10th & Oak,49.262255,-123.126217,0,18
4e8fdc99e77ba1b70d90e124a704d0c1,Hawks & Union,49.277333,-123.087359,10,6
4f6ebf2026d540ffe40e29a80138ad5e,Marinaside & Cooperage,49.273833,-123.114373,8,18
5105df3dd0daf4c26980f4134f61e5cc,Alberni & Jervis,49.28763,-123.127245,2,18
51e4d3731aebbf9c3186f310a08de6c8,7th & Arbutus,49.265605,-123.152566,5,11
521c2122c791ed038168c3b8ff24061b,14th & Ontario,49.25849,-123.104799,6,8
549f00f6039e8bb702a00dcca08a8ed0,King Edward & Cambie,49.249184,-123.116141,3,14
5699b40126e10c2f68eefc3eb18ff3a1,1st & Fir,49.270783,-123.141564,10,10
56fef9ba0af67a4ff3e661a8e02c0b08,Arbutus & 16th,49.257654,-123.153212,9,31
5726de7c5646b82f7aaeafba50aee03e,War Memorial Gym,49.2665793,-123.2485487,4,21
57d39a680c9407cda0fb4de6d9c55138,28th & Willow,49.246243,-123.124373,11,7
57e928d8c30fab0ebffb3ede850f89d6,Arbutus Greenway & Fir,49.266774,-123.141135,2,13
58345bb719f4e570ed4edc9dfa6a68a2,West Mall Swing Space Building,49.263073,-123.254307,5,15
58a026f0c506caec20697a4f90538450,McLean & Pender,49.280427,-123.074082,15,1
5a34495280727a5b50b9aa41e14e9a16,Bute & Barclay,49.284893,-123.128685,12,18
5ba6e9725b1b0ee8cd25df976e47726b,Balsam & Cornwall,49.273011,-123.159663,15,2
5de0fe55497681d4cc9dd25509cf51ab,Hastings & Broughton,49.290112,-123.127062,21,1
5f45325fdd6334a4c0d3b62853b19fa6,Seymour & Cordova,49.28512,-123.11242,11,8
5fc29e0ac42c11abb45bf12aaeb925bd,Alder & 11th,49.261742,-123.13148,2,10
61901a235d4cfceb7f8f2c3888b98617,10th & Columbia,49.262206,-123.109091,6,6
625a2ad202275c8e2be3ce868e85b105,Heather & 14th,49.259183,-123.120126,5,10
62a202eb98c0a4b09ba6746f5ee94ab3,Commercial & 20th,49.252656,-123.067965,5,14
6526a2eb3832f9ba0224d237e901ea5b,Kitsilano Beach Park,49.273355,-123.154493,24,8
6620c54bd6b3a79800b2b67e999b24d0,Rolston & Granville,49.274232,-123.129998,7,14
664502c28e8147615f17b8ea355f40d0,Cordova & Bute,49.289124,-123.12196,10,3
66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),49.260599,-123.113504,2,13
671ce9e4a92063620f772d2c57f0f3ab,Blenheim & 4th,49.268837,-123.177633,12,10
680b1ddfd50c4397b365c9c00f09b0d1,Wylie & 2nd,49.267725,-123.11311,3,13
686b314a6c3348efd2297d6b3dfed1a7,Thurlow & Pendrell,49.280881,-123.130672,3,12
686c0fdb962e26e274d81fc286c010dd,14th & Cambie,49.258763,-123.115392,5,8
6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,49.282409,-123.118541,14,6
6b1622540fe5c85d365754dd8c20bf0c,Grant & Commercial,49.271377,-123.069416,3,11
6c0de983fb47a3439a9e3c36a3d15804,8th & Ontario,49.263837,-123.105173,1,14
6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,49.28062,-123.12482,3,14
6c7fb9043e6df5a4cc50404581a947b9,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,20,6
