distance,name,popularity,rating,latitude,longitude,category,bike_latitude,bike_longitude
662,Sal y Limon,0.979659787269877,8.5,49.256878,-123.08922,Sushi Restaurant,49.262321,-123.09306
667,Brassneck Brewery,0.9674167929832744,8.5,49.265811,-123.100605,Bar,49.262321,-123.09306
906,33 Acres Brewing Co,0.9632062393926438,9.3,49.263877,-123.105307,Bar,49.262321,-123.09306
900,Elysian Coffee,0.9539041548447278,9.0,49.264531,-123.105038,Coffee Shop,49.262321,-123.09306
933,R & B Brewing Inc,0.9692435254641326,9.0,49.26727,-123.103568,Brewery,49.262321,-123.09306
637,Fox Cabaret,0.9604078406985632,8.2,49.264298,-123.101206,Movie Theater,49.262321,-123.09306
1003,Anh and Chi,0.9830800523404201,9.0,49.255019,-123.100904,Bar,49.262321,-123.09306
796,Pho Goodness,0.9771334551154988,8.4,49.257707,-123.101457,Vietnamese Restaurant,49.262321,-123.09306
736,The Federal Store,0.9787010766061642,8.3,49.261909,-123.103193,Café,49.262321,-123.09306
418,Hime Japanese Restaurant,0.9890784717633798,7.8,49.262963,-123.09874,Sushi Restaurant,49.262321,-123.09306
962,Pure Bread,0.960731729436304,8.7,49.266631,-123.104568,Bakery,49.262321,-123.09306
743,Red Truck Beer,0.970461347118038,8.1,49.268585,-123.097272,Brewery,49.262321,-123.09306
554,Ignite Pizzeria,0.9735188568023113,7.8,49.262233,-123.100706,Pizzeria,49.262321,-123.09306
728,Kranky Cafe,0.9603819295995439,8.0,49.267206,-123.09975,Restaurant,49.262321,-123.09306
868,Narrow Lounge,0.9510539339526086,8.1,49.268334,-123.100495,Lounge,49.262321,-123.09306
968,Fife Bakery,0.9585551971186858,8.3,49.268088,-123.10307,Bakery,49.262321,-123.09306
592,Sing Sing Beer Bar,0.9884954720354464,7.7,49.260652,-123.100815,Beer Bar,49.262321,-123.09306
972,Electric Bicycle Brewing,0.9610556181740448,8.2,49.267115,-123.104285,Brewery,49.262321,-123.09306
695,Zarak by Afghan Kitchen,0.9770557218184409,7.8,49.26628,-123.100483,Afghan Restaurant,49.262321,-123.09306
341,12 Kings Pub,0.9573762421133092,7.4,49.260337,-123.096652,Pub,49.262321,-123.09306
584,Gene Coffeebar,0.9483850907536243,7.6,49.263721,-123.100671,Coffee Shop,49.262321,-123.09306
702,JJ's Trucketeria,0.15744879319056318,7.8,49.263835,-123.102465,Dining and Drinking,49.262321,-123.09306
941,The General Public,0.9165403500589477,8.0,49.255843,-123.101541,Sushi Restaurant,49.262321,-123.09306
586,Burdock & Co,0.9432546931478099,7.5,49.260915,-123.100756,New American Restaurant,49.262321,-123.09306
847,Kwong Chow Congee & Noodle House,0.9795043206757614,7.7,49.256935,-123.101472,Chinese Restaurant,49.262321,-123.09306
496,Our Town Cafe,0.9602653296539573,7.3,49.26299,-123.099959,Coffee Shop,49.262321,-123.09306
948,Tacofino Ocho,0.9679350149636596,7.7,49.266312,-123.104622,Taco Restaurant,49.262321,-123.09306
271,Thai Son Restaurant,0.9665746822651483,6.9,49.262942,-123.096873,Vietnamese Restaurant,49.262321,-123.09306
700,Forecast Coffee,0.9690103255729592,7.3,49.258541,-123.100798,Coffee Shop,49.262321,-123.09306
781,Bells and Whistles,0.9857618510889139,7.2,49.255678,-123.089524,Sports Bar,49.262321,-123.09306
674,Colony Bar Main Street,0.8739813699198051,7.0,49.258994,-123.100836,Sports Bar,49.262321,-123.09306
204,Subway,0.971977146410665,6.3,49.26263,-123.090276,Deli,49.262321,-123.09306
597,Como Taperia,0.9641131278583182,6.5,49.264715,-123.100431,Tapas Restaurant,49.262321,-123.09306
424,Pizza Pizza,0.9115135968492104,6.1,49.262984,-123.098823,Pizzeria,49.262321,-123.09306
765,Tim Hortons,0.9865910062575304,6.4,49.266273,-123.084421,Coffee Shop,49.262321,-123.09306
569,Caffe Barney,0.9688807700778629,6.2,49.262516,-123.10073,Diner,49.262321,-123.09306
114,Domino's Pizza,0.9720030575096843,,49.262677,-123.091578,Pizzeria,49.262321,-123.09306
909,Blenz Coffee,0.9721067019057613,6.3,49.26399,-123.08082,Coffee Shop,49.262321,-123.09306
233,Elma's Kitchen,0.6289271509451073,,49.262301,-123.089843,Restaurant,49.262321,-123.09306
303,The Uterii,0.05810563955070154,,49.259986,-123.095243,Dive Bar,49.262321,-123.09306
325,Mercato Di Luigi,0.9809164755723114,,49.259619,-123.091318,Café,49.262321,-123.09306
740,Joe's Grill on Main Street,0.9298197883063211,5.9,49.257995,-123.100832,Breakfast Spot,49.262321,-123.09306
478,Stuart's Bakery,0.06968790081231295,,49.263262,-123.099496,Bakery,49.262321,-123.09306
337,Pepino's,0.9651625273685983,8.6,49.278808,-123.070636,Italian Restaurant,49.275882,-123.071865
277,Bomber Brewing,0.9683884591964969,8.4,49.277477,-123.074418,Brewery,49.275882,-123.071865
214,The Lunch Lady,0.9865780507080207,8.2,49.274972,-123.069257,Vietnamese Restaurant,49.275882,-123.071865
392,Fujiya Japanese Foods,0.9968129348206304,8.6,49.276572,-123.077019,Fish and Chips Shop,49.275882,-123.071865
116,East Vancouver Brewing Co,0.9738297899905425,7.9,49.276863,-123.071283,Brewery,49.275882,-123.071865
506,Via Tevere Pizzeria,0.9813440087061293,8.9,49.273873,-123.065512,Pizzeria,49.275882,-123.071865
492,Tandoori Palace,0.9624029953230466,8.7,49.271667,-123.069788,Indian Restaurant,49.275882,-123.071865
560,Strange Fellows Brewing,0.9894671382486688,8.6,49.272444,-123.077805,Bar,49.275882,-123.071865
471,TimberTrain,0.9748532784018034,8.4,49.279794,-123.074371,Coffee Shop,49.275882,-123.071865
325,Absinthe Bistro,0.7797038361382098,8.0,49.273448,-123.069371,Bistro,49.275882,-123.071865
384,Off the Rail Brewing,0.9486571572933266,8.0,49.27791,-123.076159,Brewery,49.275882,-123.071865
612,A. Bosa and Company Ltd. Import Euro,0.991786181610893,8.4,49.279449,-123.065416,Deli,49.275882,-123.071865
329,Turk's on the Drive,0.9727415238317333,7.9,49.273268,-123.069761,Coffee Shop,49.275882,-123.071865
799,La Grotta Del Formaggio,0.986008006529597,8.8,49.268804,-123.06987,Deli,49.275882,-123.071865
873,Pallet Coffee Roasters,0.9567932423853758,9.0,49.28179,-123.063911,Coffee Shop,49.275882,-123.071865
470,Earnest Ice Cream,0.9934963141461645,8.1,49.27967,-123.074767,Ice Cream Parlor,49.275882,-123.071865
226,Moja Coffee,0.967714770621996,7.7,49.274709,-123.069316,Coffee Shop,49.275882,-123.071865
582,Yolks,0.9909958930908055,8.2,49.28108,-123.072857,Breakfast Spot,49.275882,-123.071865
187,Bump N Grind Specialty Coffee,0.9588790858564266,7.6,49.276367,-123.069294,Coffee Shop,49.275882,-123.071865
711,La Casa Gelato,0.9963983572363222,8.4,49.276991,-123.081598,Ice Cream Parlor,49.275882,-123.071865
664,La Mezcaleria,0.9647090831357612,8.2,49.270076,-123.06941,Taco Restaurant,49.275882,-123.071865
565,Sopra Sotto,0.9927060256260769,8.0,49.27109,-123.069252,Pizzeria,49.275882,-123.071865
848,Andina Brewing Co,0.9707463692072499,8.4,49.283433,-123.073625,Bar,49.275882,-123.071865
868,Powell Street Craft Brewery,0.9858266288364621,8.4,49.283346,-123.075727,Brewery,49.275882,-123.071865
616,Superflux Beer Co,0.9744905230155337,7.9,49.28014,-123.077322,Brewery,49.275882,-123.071865
454,Marcello Ristorante & Pizzeria,0.9719253242126265,7.6,49.272017,-123.069412,Pizzeria,49.275882,-123.071865
983,Prado Cafe,0.9726508349851659,8.2,49.267213,-123.069492,Café,49.275882,-123.071865
214,Five Elements Cafe,0.48922746058274064,7.1,49.274972,-123.069257,Café,49.275882,-123.071865
425,Livia Bakery,0.9792581652350785,7.3,49.27229,-123.069841,Bakery,49.275882,-123.071865
669,Liberty Wine Merchants,0.9224351250858305,7.5,49.270076,-123.06941,Wine Bar,49.275882,-123.071865
638,Babylon Cafe,0.9648645497298768,7.4,49.270359,-123.069434,Middle Eastern Restaurant,49.275882,-123.071865
809,Pink Pearl Chinese Seafood Restaurant,0.9938202028839053,7.5,49.280677,-123.080369,Fish and Chips Shop,49.275882,-123.071865
475,Harbour Oyster + Bar,0.9583090416780028,7.1,49.271939,-123.069324,Seafood Restaurant,49.275882,-123.071865
866,Yama Cafe,0.9537098216020833,7.4,49.281383,-123.063389,Café,49.275882,-123.071865
651,Luppolo Brewing Co,0.972365812895954,7.1,49.276934,-123.080701,Bar,49.275882,-123.071865
697,Victoria Park Cafe,0.9757342557684584,7.2,49.27116,-123.065526,Coffee Shop,49.275882,-123.071865
759,Axum Ethiopian Restaurant,0.9177193050643243,6.8,49.281525,-123.077764,Diner,49.275882,-123.071865
511,The Charlatan,0.9555106429839222,6.4,49.271667,-123.069788,Bar,49.275882,-123.071865
195,Joe's Grill,0.1414486895461671,,49.275893,-123.069172,American Restaurant,49.275882,-123.071865
226,Super Wedge Pizza,0.18747975695389119,,49.274709,-123.069316,Pizzeria,49.275882,-123.071865
226,Wilder Juice,0.7025535388083486,,49.274709,-123.069316,Dining and Drinking,49.275882,-123.071865
236,Palki,0.2683612525425266,,49.274503,-123.069379,Indian Restaurant,49.275882,-123.071865
246,Kulinarya,0.9677536372705249,,49.274426,-123.069292,Filipino Restaurant,49.275882,-123.071865
380,Takenaka,0.9933538031015585,,49.278276,-123.075622,Sushi Restaurant,49.275882,-123.071865
390,Evan Elman,0.3554484563462759,,49.278389,-123.075632,Restaurant,49.275882,-123.071865
413,Mum's the Word,0.9721585241037999,,49.272403,-123.06985,Café,49.275882,-123.071865
488,Cozen,0.9769909440708928,,49.271687,-123.069871,Japanese Restaurant,49.275882,-123.071865
506,Merci Beaucoup Cafe,0.9481000686644124,,49.27162,-123.069378,Bagel Shop,49.275882,-123.071865
511,Bored Senseless,0.8537707126847786,,49.271287,-123.071379,Hookah Bar,49.275882,-123.071865
609,Divinos Wine & Tasting Room,0.5863681708059647,,49.270657,-123.069297,French Restaurant,49.275882,-123.071865
149,Cactus Club Cafe,0.9824711415134673,9.0,49.28666,-123.14278,Mexican Restaurant,49.28803,-123.142135
155,CRAFT Beer Market English Bay,0.9862412064207703,8.6,49.286629,-123.14221,Beer Bar,49.28803,-123.142135
179,Legendary Noodle House,0.9736225011983883,8.6,49.288425,-123.139849,Chinese Restaurant,49.28803,-123.142135
425,The Inukshuk,0.9911254485859018,9.2,49.284303,-123.143552,Public Art,49.28803,-123.142135
463,Kingyo Izakaya,0.9795172762252711,9.1,49.290643,-123.136956,Sushi Restaurant,49.28803,-123.142135
231,JJ Bean Coffee Roasters,0.9656289271509451,8.3,49.286217,-123.140552,Coffee Shop,49.28803,-123.142135
607,Greenhorn Cafe,0.9546296656172671,8.7,49.286624,-123.133935,Café,49.28803,-123.142135
233,Red Umbrella Cafe,0.9664062601215231,7.9,49.286418,-123.140245,Café,49.28803,-123.142135
668,Hokkaido Ramen Santouka,0.9700338139842202,8.7,49.290258,-123.13384,Ramen Restaurant,49.28803,-123.142135
163,D'oro Gelato e Caffè,0.9524790443986682,7.7,49.288276,-123.139917,Ice Cream Parlor,49.28803,-123.142135
139,The Park at English Bay,0.9854250068016635,7.6,49.286922,-123.140937,Pub,49.28803,-123.142135
636,Nook,0.9409874719836242,8.4,49.29174,-123.135346,Italian Restaurant,49.28803,-123.142135
840,Score on Davie,0.9781439879772501,8.7,49.282285,-123.134538,Arts and Entertainment,49.28803,-123.142135
952,Ramen Danbo - Robson,0.9960226463005428,9.0,49.287499,-123.12898,Ramen Restaurant,49.28803,-123.142135
724,Saku,0.9744646119165145,8.4,49.291333,-123.134825,Japanese Restaurant,49.28803,-123.142135
686,Marutama Ra-men,0.9892728050060243,8.3,49.290515,-123.133538,Ramen Restaurant,49.28803,-123.142135
912,La Belle Patate,0.9857100288908754,8.6,49.282095,-123.133548,Restaurant,49.28803,-123.142135
646,Dinesty Chinese Restaurant,0.9762395221993341,8.1,49.290752,-123.134045,Shanghai Restaurant,49.28803,-123.142135
987,Tom Sushi,0.9749698783473901,8.7,49.28157,-123.132773,Sushi Restaurant,49.28803,-123.142135
101,The Calling Public House,0.9610037959760063,7.3,49.287036,-123.141839,Pub,49.28803,-123.142135
418,Blenz Coffee,0.9758638112635547,7.6,49.290242,-123.137571,Coffee Shop,49.28803,-123.142135
977,1181 Lounge,0.9574021532123285,8.2,49.281647,-123.132861,Night Club,49.28803,-123.142135
852,Melriches Coffeehouse,0.9724435461930118,8.0,49.282224,-123.134289,Café,49.28803,-123.142135
908,Chez Cora,0.9757213002189488,8.0,49.287551,-123.129634,Restaurant,49.28803,-123.142135
956,Xy,0.40500343322062005,7.8,49.281565,-123.133421,Gay Bar,49.28803,-123.142135
160,Nat's Pizzeria,0.9228497026701388,6.9,49.2886,-123.140107,Pizzeria,49.28803,-123.142135
